name;type;values;attribute_type
is-Republican;binary;0|1;output
handicapped-infants;binary;0|1;input
water-project-cost-sharing;binary;0|1;input
adoption-of-the-budget-resolution;binary;0|1;input
physician-fee-freeze;binary;0|1;input
el-salvador-aid;binary;0|1;input
religious-groups-in-schools;binary;0|1;input
anti-satellite-test-ban;binary;0|1;input
aid-to-nicaraguan-contras;binary;0|1;input
mx-missile;binary;0|1;input
immigration;binary;0|1;input
synfuels-corporation-cutback;binary;0|1;input
education-spending;binary;0|1;input
inputsuperfund-right-to-sue;binary;0|1;input
crime;binary;0|1;input
duty-free-exports;binary;0|1;input
export-administration-act-south-africa;binary;0|1;input
